Patient,Neuron Name,Pre-Stim T-Score,Pre-Stim P-Value,Pre-Stim Significant,Post-Stim T-Score,Post-Stim P-Value,Post-Stim Significant,T-Score Diff (Pre - Post),Post-Stim Mean Rate (Hz),N Clips
P574_exp_10_preSleep,times_manual_GC1-ROF3_unit_1,-0.6172826044978573,0.5391182697603855,False,0.21249044272052414,0.8323323638870863,False,-0.8297730472183815,1.4133333333333333,75
P574_exp_10_preSleep,times_manual_GC1-ROF6_unit_1,0.4162276492309046,0.6786153227983566,False,1.6972550362399603,0.09391151258825588,False,-1.2810273870090558,6.493333333333333,75
P574_exp_10_preSleep,times_manual_GC1-ROF7_unit_1,2.8547717704469866,0.0057036499012831,True,1.6529708712264544,0.10278148582777623,False,1.2018008992205322,0.92,75
P574_exp_10_preSleep,times_manual_GC1-ROF8_unit_1,1.7405558169826199,0.08613493634782844,False,0.6976523430756978,0.487910359660781,False,1.042903473906922,2.8,75
P574_exp_10_preSleep,times_manual_GC3-LOF1_unit_1,0.5207418333126134,0.6041476053495118,False,1.4897359612333307,0.14074782330707344,False,-0.9689941279207174,11.64,75
P574_exp_10_preSleep,times_manual_GC3-LOF1_unit_2,1.0225476709232801,0.31033476542415916,False,0.4234875720769261,0.6731941458165227,False,0.599060098846354,0.30666666666666664,75
P574_exp_10_preSleep,times_manual_GC3-LOF2_unit_1,-0.8071160633991534,0.42236774422263834,False,0.09667578290046835,0.9232682128441583,False,-0.9037918462996217,5.346666666666667,75
P574_exp_10_preSleep,times_manual_GC3-LOF3_unit_1,0.9329963932010773,0.3539289193635563,False,2.091693540172144,0.04011958484127346,True,-1.158697146971067,5.253333333333333,75
P574_exp_10_preSleep,times_manual_GC3-LOF3_unit_2,0.7198219946055299,0.47393300861844373,False,-0.3179180185011484,0.7515983558780822,False,1.0377400131066783,1.1333333333333333,75
P574_exp_10_preSleep,times_manual_GC3-LOF4_unit_1,1.7392808130448303,0.08631926405196526,False,0.390742849600874,0.6971388831501099,False,1.3485379634439563,9.146666666666667,75
P574_exp_10_preSleep,times_manual_GC3-LOF5_unit_1,1.143335026468674,0.25668054741403623,False,0.6829086135524984,0.4971375069198128,False,0.4604264129161755,3.3066666666666666,75
P574_exp_10_preSleep,times_manual_GC3-LOF5_unit_2,1.2100789289662697,0.23029009713382334,False,0.05020977316296755,0.9601079161244378,False,1.159869155803302,1.16,75
P574_exp_10_preSleep,times_manual_GC3-LOF5_unit_3,0.9782191716299443,0.33119710462344226,False,0.7358117861538339,0.4642039484713073,False,0.2424073854761104,0.92,75
P574_exp_10_preSleep,times_manual_GC3-LOF6_unit_1,-0.18329716053501371,0.8552052336332271,False,-0.6344035546237029,0.5279192541775194,False,0.4511063940886892,7.24,75
P574_exp_10_preSleep,times_manual_GC3-LOF7_unit_1,0.14931967092849852,0.881818033506157,False,0.7271542635693276,0.4698827803975673,False,-0.577834592640829,5.066666666666666,75
P574_exp_10_preSleep,times_manual_GC3-LOF8_unit_1,-0.16918983176887645,0.8661280907928061,False,1.6563185315185418,0.10221213374333935,False,-1.8255083632874183,0.38666666666666666,75
P574_exp_10_preSleep,times_manual_GC3-LOF8_unit_2,0.7780395374620764,0.4396806022039754,False,-0.9921217852391105,0.3251443265122017,False,1.770161322701187,2.0933333333333333,75
